LOCALITY_NAME,POSTCODE,STATE_ABBREVIATION,full_suburb
Adare,4343,QLD,"Adare, QLD, 4343"
Adavale,4474,QLD,"Adavale, QLD, 4474"
Addington,3352,VIC,"Addington, VIC, 3352"
Adelaide,5000,SA,"Adelaide, SA, 5000"
Adelaide Airport,5950,SA,"Adelaide Airport, SA, 5950"
Adelaide Lead,3465,VIC,"Adelaide Lead, VIC, 3465"
Adelaide Park,4703,QLD,"Adelaide Park, QLD, 4703"
Adelaide River,846,NT,"Adelaide River, NT, 846"
Adelong,2729,NSW,"Adelong, NSW, 2729"
Adjungbilly,2727,NSW,"Adjungbilly, NSW, 2727"
Advancetown,4211,QLD,"Advancetown, QLD, 4211"
Adventure Bay,7150,TAS,"Adventure Bay, TAS, 7150"
Aeroglen,4870,QLD,"Aeroglen, QLD, 4870"
Afterlee,2474,NSW,"Afterlee, NSW, 2474"
Agery,5558,SA,"Agery, SA, 5558"
Agnes,3962,VIC,"Agnes, VIC, 3962"
Agnes Banks,2753,NSW,"Agnes Banks, NSW, 2753"
Agnes Water,4677,QLD,"Agnes Water, QLD, 4677"
Ainslie,2602,ACT,"Ainslie, ACT, 2602"
Aintree,3336,VIC,"Aintree, VIC, 3336"
Airdmillan,4807,QLD,"Airdmillan, QLD, 4807"
Airds,2560,NSW,"Airds, NSW, 2560"
Aireys Inlet,3231,VIC,"Aireys Inlet, VIC, 3231"
Airlie Beach,4802,QLD,"Airlie Beach, QLD, 4802"
Airly,3851,VIC,"Airly, VIC, 3851"
Airport West,3042,VIC,"Airport West, VIC, 3042"
Airville,4807,QLD,"Airville, QLD, 4807"
Aitkenvale,4814,QLD,"Aitkenvale, QLD, 4814"
Ajana,6532,WA,"Ajana, WA, 6532"
Akaroa,7216,TAS,"Akaroa, TAS, 7216"
Akolele,2546,NSW,"Akolele, NSW, 2546"
Alabama Hill,4820,QLD,"Alabama Hill, QLD, 4820"
Alawa,810,NT,"Alawa, NT, 810"
Alawoona,5311,SA,"Alawoona, SA, 5311"
Albanvale,3021,VIC,"Albanvale, VIC, 3021"
Albany,6330,WA,"Albany, WA, 6330"
Albany Creek,4035,QLD,"Albany Creek, QLD, 4035"
Albert,2873,NSW,"Albert, NSW, 2873"
Albert Park,3206,VIC,"Albert Park, VIC, 3206"
Albert Park,5014,SA,"Albert Park, SA, 5014"
Alberta,4702,QLD,"Alberta, QLD, 4702"
Alberton,3971,VIC,"Alberton, VIC, 3971"
Alberton,4207,QLD,"Alberton, QLD, 4207"
Alberton,5014,SA,"Alberton, SA, 5014"
Alberton,7263,TAS,"Alberton, TAS, 7263"
Alberton West,3971,VIC,"Alberton West, VIC, 3971"
Albinia,4722,QLD,"Albinia, QLD, 4722"
Albion,3020,VIC,"Albion, VIC, 3020"
Albion,4010,QLD,"Albion, QLD, 4010"
Albion,4822,QLD,"Albion, QLD, 4822"
Albion Park,2527,NSW,"Albion Park, NSW, 2527"
Albion Park Rail,2527,NSW,"Albion Park Rail, NSW, 2527"
Albury,2640,NSW,"Albury, NSW, 2640"
Alcomie,7330,TAS,"Alcomie, TAS, 7330"
Aldavilla,2440,NSW,"Aldavilla, NSW, 2440"
Alderley,4051,QLD,"Alderley, QLD, 4051"
Aldershot,4650,QLD,"Aldershot, QLD, 4650"
Aldersyde,6306,WA,"Aldersyde, WA, 6306"
Aldgate,5154,SA,"Aldgate, SA, 5154"
Aldinga,5173,SA,"Aldinga, SA, 5173"
Aldinga Beach,5173,SA,"Aldinga Beach, SA, 5173"
Aldoga,4694,QLD,"Aldoga, QLD, 4694"
Alectown,2870,NSW,"Alectown, NSW, 2870"
Alexander Heights,6064,WA,"Alexander Heights, WA, 6064"
Alexandra,3714,VIC,"Alexandra, VIC, 3714"
Alexandra,4740,QLD,"Alexandra, QLD, 4740"
Alexandra Bridge,6288,WA,"Alexandra Bridge, WA, 6288"
Alexandra Headland,4572,QLD,"Alexandra Headland, QLD, 4572"
Alexandra Hills,4161,QLD,"Alexandra Hills, QLD, 4161"
Alexandria,2015,NSW,"Alexandria, NSW, 2015"
Alford,5555,SA,"Alford, SA, 5555"
Alfords Point,2234,NSW,"Alfords Point, NSW, 2234"
Alfred Cove,6154,WA,"Alfred Cove, WA, 6154"
Alfredton,3350,VIC,"Alfredton, VIC, 3350"
Alfredtown,2650,NSW,"Alfredtown, NSW, 2650"
Algester,4115,QLD,"Algester, QLD, 4115"
Ali Curung,872,NT,"Ali Curung, NT, 872"
Alice,2469,NSW,"Alice, NSW, 2469"
Alice Creek,4610,QLD,"Alice Creek, QLD, 4610"
Alice River,4817,QLD,"Alice River, QLD, 4817"
Alice Springs,870,NT,"Alice Springs, NT, 870"
Alison,2259,NSW,"Alison, NSW, 2259"
Alison,2420,NSW,"Alison, NSW, 2420"
Alkimos,6038,WA,"Alkimos, WA, 6038"
Allambee,3823,VIC,"Allambee, VIC, 3823"
Allambee Reserve,3871,VIC,"Allambee Reserve, VIC, 3871"
Allambee South,3871,VIC,"Allambee South, VIC, 3871"
Allambie Heights,2100,NSW,"Allambie Heights, NSW, 2100"
Allan,4370,QLD,"Allan, QLD, 4370"
Allandale,2320,NSW,"Allandale, NSW, 2320"
Allandale,4310,QLD,"Allandale, QLD, 4310"
Allandale Station,5723,SA,"Allandale Station, SA, 5723"
Allanooka,6525,WA,"Allanooka, WA, 6525"
Allans Flat,3691,VIC,"Allans Flat, VIC, 3691"
Allansford,3277,VIC,"Allansford, VIC, 3277"
Allanson,6225,WA,"Allanson, WA, 6225"
Allawah,2218,NSW,"Allawah, NSW, 2218"
Alleena,2671,NSW,"Alleena, NSW, 2671"
Allenby Gardens,5009,SA,"Allenby Gardens, SA, 5009"
Allendale,3364,VIC,"Allendale, VIC, 3364"
Allendale East,5291,SA,"Allendale East, SA, 5291"
Allendale North,5373,SA,"Allendale North, SA, 5373"
Allens Rivulet,7150,TAS,"Allens Rivulet, TAS, 7150"
Allenstown,4700,QLD,"Allenstown, QLD, 4700"
Allenview,4285,QLD,"Allenview, QLD, 4285"
Allestree,3305,VIC,"Allestree, VIC, 3305"
Allgomera,2441,NSW,"Allgomera, NSW, 2441"
Alligator Creek,4740,QLD,"Alligator Creek, QLD, 4740"
Alligator Creek,4816,QLD,"Alligator Creek, QLD, 4816"
Allora,4362,QLD,"Allora, QLD, 4362"
Alloway,4670,QLD,"Alloway, QLD, 4670"
Allworth,2425,NSW,"Allworth, NSW, 2425"
Allynbrook,2311,NSW,"Allynbrook, NSW, 2311"
Alma,3465,VIC,"Alma, VIC, 3465"
Alma,5401,SA,"Alma, SA, 5401"
Alma,6535,WA,"Alma, WA, 6535"
Alma Park,2659,NSW,"Alma Park, NSW, 2659"
Almaden,4871,QLD,"Almaden, QLD, 4871"
Almonds,3727,VIC,"Almonds, VIC, 3727"
Almurta,3979,VIC,"Almurta, VIC, 3979"
Alonnah,7150,TAS,"Alonnah, TAS, 7150"
Aloomba,4871,QLD,"Aloomba, QLD, 4871"
Alpana,5730,SA,"Alpana, SA, 5730"
Alpha,4724,QLD,"Alpha, QLD, 4724"
Alphington,3078,VIC,"Alphington, VIC, 3078"
Alpine,2575,NSW,"Alpine, NSW, 2575"
Alpurrurulam,4825,NT,"Alpurrurulam, NT, 4825"
Alsace,4702,QLD,"Alsace, QLD, 4702"
Alstonvale,2477,NSW,"Alstonvale, NSW, 2477"
Alstonville,2477,NSW,"Alstonville, NSW, 2477"
Alton Downs,4702,QLD,"Alton Downs, QLD, 4702"
Alton Downs Station,5733,SA,"Alton Downs Station, SA, 5733"
Altona,3018,VIC,"Altona, VIC, 3018"
Altona,5351,SA,"Altona, SA, 5351"
Altona Meadows,3028,VIC,"Altona Meadows, VIC, 3028"
Altona North,3025,VIC,"Altona North, VIC, 3025"
Alumy Creek,2460,NSW,"Alumy Creek, NSW, 2460"
Alva,4807,QLD,"Alva, QLD, 4807"
Alvie,3249,VIC,"Alvie, VIC, 3249"
Alyangula,885,NT,"Alyangula, NT, 885"
Amamoor,4570,QLD,"Amamoor, QLD, 4570"
Amamoor Creek,4570,QLD,"Amamoor Creek, QLD, 4570"
Amaroo,2866,NSW,"Amaroo, NSW, 2866"
Amaroo,2914,ACT,"Amaroo, ACT, 2914"
Amaroo,4829,QLD,"Amaroo, QLD, 4829"
Amata,872,SA,"Amata, SA, 872"
Ambania,6632,WA,"Ambania, WA, 6632"
Ambarvale,2560,NSW,"Ambarvale, NSW, 2560"
Amber,4871,QLD,"Amber, QLD, 4871"
Ambergate,6280,WA,"Ambergate, WA, 6280"
Amberley,4306,QLD,"Amberley, QLD, 4306"
Ambleside,7310,TAS,"Ambleside, TAS, 7310"
Ambrose,4695,QLD,"Ambrose, QLD, 4695"
Amby,4462,QLD,"Amby, QLD, 4462"
Amelup,6338,WA,"Amelup, WA, 6338"
American Beach,5222,SA,"American Beach, SA, 5222"
American River,5221,SA,"American River, SA, 5221"
Amherst,3371,VIC,"Amherst, VIC, 3371"
Amiens,4380,QLD,"Amiens, QLD, 4380"
Amity,4183,QLD,"Amity, QLD, 4183"
Amoonguna,873,NT,"Amoonguna, NT, 873"
Amor,3825,VIC,"Amor, VIC, 3825"
Amosfield,4380,NSW,"Amosfield, NSW, 4380"
Amphitheatre,3468,VIC,"Amphitheatre, VIC, 3468"
Ampilatwatja,872,NT,"Ampilatwatja, NT, 872"
Amyton,5431,SA,"Amyton, SA, 5431"
Anabranch North,2648,NSW,"Anabranch North, NSW, 2648"
Anabranch South,2648,NSW,"Anabranch South, NSW, 2648"
Anakie,3213,VIC,"Anakie, VIC, 3213"
Anakie Siding,4702,QLD,"Anakie Siding, QLD, 4702"
Anama,5464,SA,"Anama, SA, 5464"
Anambah,2320,NSW,"Anambah, NSW, 2320"
Anangu Pitjantjatjara Yankunytjatjara,872,SA,"Anangu Pitjantjatjara Yankunytjatjara, SA, 872"
Anatye,872,NT,"Anatye, NT, 872"
Ancona,3715,VIC,"Ancona, VIC, 3715"
Andamooka,5722,SA,"Andamooka, SA, 5722"
Andamooka Station,5722,SA,"Andamooka Station, SA, 5722"
Andergrove,4740,QLD,"Andergrove, QLD, 4740"
Anderleigh,4570,QLD,"Anderleigh, QLD, 4570"
Anderson,3995,VIC,"Anderson, VIC, 3995"
Ando,2631,NSW,"Ando, NSW, 2631"
Andover,7120,TAS,"Andover, TAS, 7120"
Andrews,5454,SA,"Andrews, SA, 5454"
Andrews Farm,5114,SA,"Andrews Farm, SA, 5114"
Andromache,4800,QLD,"Andromache, QLD, 4800"
Anduramba,4355,QLD,"Anduramba, QLD, 4355"
Anembo,2621,NSW,"Anembo, NSW, 2621"
Angas Plains,5255,SA,"Angas Plains, SA, 5255"
Angas Valley,5238,SA,"Angas Valley, SA, 5238"
Angaston,5353,SA,"Angaston, SA, 5353"
Angepena,5732,SA,"Angepena, SA, 5732"
Angle Park,5010,SA,"Angle Park, SA, 5010"
Angle Vale,5117,SA,"Angle Vale, SA, 5117"
Angledale,2550,NSW,"Angledale, NSW, 2550"
Angledool,2834,NSW,"Angledool, NSW, 2834"
Anglers Reach,2629,NSW,"Anglers Reach, NSW, 2629"
Anglers Rest,3898,VIC,"Anglers Rest, VIC, 3898"
Anglesea,3230,VIC,"Anglesea, VIC, 3230"
Angorigina,5730,SA,"Angorigina, SA, 5730"
Angourie,2464,NSW,"Angourie, NSW, 2464"
Angus,2765,NSW,"Angus, NSW, 2765"
Anketell,6167,WA,"Anketell, WA, 6167"
Anmatjere,872,NT,"Anmatjere, NT, 872"
Anna Bay,2316,NSW,"Anna Bay, NSW, 2316"
Anna Creek,5723,SA,"Anna Creek, SA, 5723"
Annadale,5356,SA,"Annadale, SA, 5356"
Annandale,2038,NSW,"Annandale, NSW, 2038"
Annandale,4814,QLD,"Annandale, QLD, 4814"
Annangrove,2156,NSW,"Annangrove, NSW, 2156"
Annerley,4103,QLD,"Annerley, QLD, 4103"
Anniebrook,6280,WA,"Anniebrook, WA, 6280"
Annuello,3549,VIC,"Annuello, VIC, 3549"
Ansons Bay,7264,TAS,"Ansons Bay, TAS, 7264"
Anstead,4070,QLD,"Anstead, QLD, 4070"
Antechamber Bay,5222,SA,"Antechamber Bay, SA, 5222"
Anthony,4310,QLD,"Anthony, QLD, 4310"
Antigua,4650,QLD,"Antigua, QLD, 4650"
Antill Ponds,7120,TAS,"Antill Ponds, TAS, 7120"
Antwerp,3414,VIC,"Antwerp, VIC, 3414"
Anula,812,NT,"Anula, NT, 812"
Apamurra,5237,SA,"Apamurra, SA, 5237"
Apoinga,5413,SA,"Apoinga, SA, 5413"
Apollo Bay,3233,VIC,"Apollo Bay, VIC, 3233"
Apollo Bay,7150,TAS,"Apollo Bay, TAS, 7150"
Appila,5480,SA,"Appila, SA, 5480"
Appin,2560,NSW,"Appin, NSW, 2560"
Appin,3579,VIC,"Appin, VIC, 3579"
Appin South,3579,VIC,"Appin South, VIC, 3579"
Apple Tree Creek,4660,QLD,"Apple Tree Creek, QLD, 4660"
Apple Tree Flat,2850,NSW,"Apple Tree Flat, NSW, 2850"
Appleby,2340,NSW,"Appleby, NSW, 2340"
Applecross,6153,WA,"Applecross, WA, 6153"
Applethorpe,4378,QLD,"Applethorpe, QLD, 4378"
Appletree Flat,2330,NSW,"Appletree Flat, NSW, 2330"
Apslawn,7190,TAS,"Apslawn, TAS, 7190"
Apsley,2820,NSW,"Apsley, NSW, 2820"
Apsley,3319,VIC,"Apsley, VIC, 3319"
Apsley,7030,TAS,"Apsley, TAS, 7030"
Arable,2630,NSW,"Arable, NSW, 2630"
Arakoon,2431,NSW,"Arakoon, NSW, 2431"
Araluen,2622,NSW,"Araluen, NSW, 2622"
Araluen,4570,QLD,"Araluen, QLD, 4570"
Araluen,870,NT,"Araluen, NT, 870"
Aramac,4726,QLD,"Aramac, QLD, 4726"
Aramara,4620,QLD,"Aramara, QLD, 4620"
Arana Hills,4054,QLD,"Arana Hills, QLD, 4054"
Aranbanga,4625,QLD,"Aranbanga, QLD, 4625"
Aranda,2614,ACT,"Aranda, ACT, 2614"
Arapiles,3409,VIC,"Arapiles, VIC, 3409"
Ararat,3377,VIC,"Ararat, VIC, 3377"
Aratula,2714,NSW,"Aratula, NSW, 2714"
Aratula,4309,QLD,"Aratula, QLD, 4309"
Arawata,3951,VIC,"Arawata, VIC, 3951"
Arbouin,4892,QLD,"Arbouin, QLD, 4892"
Arcadia,2159,NSW,"Arcadia, NSW, 2159"
Arcadia,3631,VIC,"Arcadia, VIC, 3631"
Arcadia,4819,QLD,"Arcadia, QLD, 4819"
Arcadia South,3631,VIC,"Arcadia South, VIC, 3631"
Arcadia Vale,2283,NSW,"Arcadia Vale, NSW, 2283"
Arcadia Valley,4454,QLD,"Arcadia Valley, QLD, 4454"
Archdale,3475,VIC,"Archdale, VIC, 3475"
Archdale Junction,3475,VIC,"Archdale Junction, VIC, 3475"
Archer,830,NT,"Archer, NT, 830"
Archer River,4892,QLD,"Archer River, QLD, 4892"
Archerfield,4108,QLD,"Archerfield, QLD, 4108"
Archerton,3723,VIC,"Archerton, VIC, 3723"
Archies Creek,3995,VIC,"Archies Creek, VIC, 3995"
Arckaringa,5723,SA,"Arckaringa, SA, 5723"
Arcoona,5720,SA,"Arcoona, SA, 5720"
Arcturus,4702,QLD,"Arcturus, QLD, 4702"
Ardath,6419,WA,"Ardath, WA, 6419"
Ardeer,3022,VIC,"Ardeer, VIC, 3022"
Ardglen,2338,NSW,"Ardglen, NSW, 2338"
Arding,2358,NSW,"Arding, NSW, 2358"
Ardlethan,2665,NSW,"Ardlethan, NSW, 2665"
Ardmona,3629,VIC,"Ardmona, VIC, 3629"
Ardross,6153,WA,"Ardross, WA, 6153"
Ardrossan,5571,SA,"Ardrossan, SA, 5571"
Areegra,3480,VIC,"Areegra, VIC, 3480"
Areyonga,872,NT,"Areyonga, NT, 872"
Argalong,2720,NSW,"Argalong, NSW, 2720"
Argenton,2284,NSW,"Argenton, NSW, 2284"
Argents Hill,2449,NSW,"Argents Hill, NSW, 2449"
Argoon,2707,NSW,"Argoon, NSW, 2707"
Argoon,4702,QLD,"Argoon, QLD, 4702"
Argyle,3523,VIC,"Argyle, VIC, 3523"
Argyle,6239,WA,"Argyle, WA, 6239"
Argyll,4721,QLD,"Argyll, QLD, 4721"
Ariah Park,2665,NSW,"Ariah Park, NSW, 2665"
Arkaroola,5732,SA,"Arkaroola, SA, 5732"
Arkaroola Village,5701,SA,"Arkaroola Village, SA, 5701"
Arkell,2795,NSW,"Arkell, NSW, 2795"
Arkstone,2795,NSW,"Arkstone, NSW, 2795"
Armadale,3143,VIC,"Armadale, VIC, 3143"
Armadale,6112,WA,"Armadale, WA, 6112"
Armagh,5453,SA,"Armagh, SA, 5453"
Armatree,2828,NSW,"Armatree, NSW, 2828"
Armidale,2350,NSW,"Armidale, NSW, 2350"
Armstrong,3377,VIC,"Armstrong, VIC, 3377"
Armstrong Beach,4737,QLD,"Armstrong Beach, QLD, 4737"
Armstrong Creek,3217,VIC,"Armstrong Creek, VIC, 3217"
Armstrong Creek,4520,QLD,"Armstrong Creek, QLD, 4520"
Arncliffe,2205,NSW,"Arncliffe, NSW, 2205"
Arndell Park,2148,NSW,"Arndell Park, NSW, 2148"
Arno Bay,5603,SA,"Arno Bay, SA, 5603"
Arnold,3551,VIC,"Arnold, VIC, 3551"
Arnold,852,NT,"Arnold, NT, 852"
Arnold West,3551,VIC,"Arnold West, VIC, 3551"
Aroona,4551,QLD,"Aroona, QLD, 4551"
Arrawarra,2456,NSW,"Arrawarra, NSW, 2456"
Arrawarra Headland,2456,NSW,"Arrawarra Headland, NSW, 2456"
Arriga,4880,QLD,"Arriga, QLD, 4880"
Arrino,6519,WA,"Arrino, WA, 6519"
Arrowsmith,6525,WA,"Arrowsmith, WA, 6525"
Arrowsmith East,6519,WA,"Arrowsmith East, WA, 6519"
Artarmon,2064,NSW,"Artarmon, NSW, 2064"
Arthur River,6315,WA,"Arthur River, WA, 6315"
Arthur River,7330,TAS,"Arthur River, TAS, 7330"
Arthurs Creek,3099,VIC,"Arthurs Creek, VIC, 3099"
Arthurs Lake,7030,TAS,"Arthurs Lake, TAS, 7030"
Arthurs Seat,3936,VIC,"Arthurs Seat, VIC, 3936"
Arthurton,5572,SA,"Arthurton, SA, 5572"
Arthurville,2820,NSW,"Arthurville, NSW, 2820"
Arumbera,873,NT,"Arumbera, NT, 873"
Arumpo,2715,NSW,"Arumpo, NSW, 2715"
Arundel,4214,QLD,"Arundel, QLD, 4214"
Ascot,3364,VIC,"Ascot, VIC, 3364"
Ascot,3551,VIC,"Ascot, VIC, 3551"
Ascot,4007,QLD,"Ascot, QLD, 4007"
Ascot,4359,QLD,"Ascot, QLD, 4359"
Ascot,6104,WA,"Ascot, WA, 6104"
Ascot Park,5043,SA,"Ascot Park, SA, 5043"
Ascot Vale,3032,VIC,"Ascot Vale, VIC, 3032"
Ashbourne,3442,VIC,"Ashbourne, VIC, 3442"
Ashbourne,5157,SA,"Ashbourne, SA, 5157"
Ashburton,3147,VIC,"Ashburton, VIC, 3147"
Ashbury,2193,NSW,"Ashbury, NSW, 2193"
Ashby,2463,NSW,"Ashby, NSW, 2463"
Ashby,6065,WA,"Ashby, WA, 6065"
Ashby Heights,2463,NSW,"Ashby Heights, NSW, 2463"
Ashby Island,2463,NSW,"Ashby Island, NSW, 2463"
Ashcroft,2168,NSW,"Ashcroft, NSW, 2168"
Ashendon,6111,WA,"Ashendon, WA, 6111"
Ashfield,2131,NSW,"Ashfield, NSW, 2131"
Ashfield,4670,QLD,"Ashfield, QLD, 4670"
Ashfield,6054,WA,"Ashfield, WA, 6054"
Ashford,2361,NSW,"Ashford, NSW, 2361"
Ashford,5035,SA,"Ashford, SA, 5035"
Ashgrove,4060,QLD,"Ashgrove, QLD, 4060"
Ashley,2400,NSW,"Ashley, NSW, 2400"
Ashmont,2650,NSW,"Ashmont, NSW, 2650"
Ashmore,4214,QLD,"Ashmore, QLD, 4214"
Ashton,5137,SA,"Ashton, SA, 5137"
Ashtonfield,2323,NSW,"Ashtonfield, NSW, 2323"
Ashville,5259,SA,"Ashville, SA, 5259"
Ashwell,4340,QLD,"Ashwell, QLD, 4340"
Ashwood,3147,VIC,"Ashwood, VIC, 3147"
Aspendale,3195,VIC,"Aspendale, VIC, 3195"
Aspendale Gardens,3195,VIC,"Aspendale Gardens, VIC, 3195"
Aspley,4034,QLD,"Aspley, QLD, 4034"
Asquith,2077,NSW,"Asquith, NSW, 2077"
Athelstone,5076,SA,"Athelstone, SA, 5076"
Atherton,4883,QLD,"Atherton, QLD, 4883"
Athlone,3818,VIC,"Athlone, VIC, 3818"
Athol,4350,QLD,"Athol, QLD, 4350"
Athol Park,5012,SA,"Athol Park, SA, 5012"
Atholwood,2361,NSW,"Atholwood, NSW, 2361"
Atitjere,872,NT,"Atitjere, NT, 872"
Atkinsons Dam,4311,QLD,"Atkinsons Dam, QLD, 4311"
Attadale,6156,WA,"Attadale, WA, 6156"
Attunga,2345,NSW,"Attunga, NSW, 2345"
Attwood,3049,VIC,"Attwood, VIC, 3049"
Atwell,6164,WA,"Atwell, WA, 6164"
Aubigny,4401,QLD,"Aubigny, QLD, 4401"
Aubin Grove,6164,WA,"Aubin Grove, WA, 6164"
Aubrey,3393,VIC,"Aubrey, VIC, 3393"
Auburn,2144,NSW,"Auburn, NSW, 2144"
Auburn,4413,QLD,"Auburn, QLD, 4413"
Auburn,5451,SA,"Auburn, SA, 5451"
Auburn Vale,2360,NSW,"Auburn Vale, NSW, 2360"
Auchenflower,4066,QLD,"Auchenflower, QLD, 4066"
Auchmore,3570,VIC,"Auchmore, VIC, 3570"
Audley,2232,NSW,"Audley, NSW, 2232"
Augathella,4477,QLD,"Augathella, QLD, 4477"
Augusta,6290,WA,"Augusta, WA, 6290"
Augustine Heights,4300,QLD,"Augustine Heights, QLD, 4300"
Auldana,5072,SA,"Auldana, SA, 5072"
Aurukun,4892,QLD,"Aurukun, QLD, 4892"
Austinmer,2515,NSW,"Austinmer, NSW, 2515"
Austins Ferry,7011,TAS,"Austins Ferry, TAS, 7011"
Austinville,4213,QLD,"Austinville, QLD, 4213"
Austral,2179,NSW,"Austral, NSW, 2179"
Austral Eden,2440,NSW,"Austral Eden, NSW, 2440"
Australia Plains,5374,SA,"Australia Plains, SA, 5374"
Australind,6233,WA,"Australind, WA, 6233"
Avalon,3212,VIC,"Avalon, VIC, 3212"
Avalon Beach,2107,NSW,"Avalon Beach, NSW, 2107"
Aveley,6069,WA,"Aveley, WA, 6069"
Avenel,3664,VIC,"Avenel, VIC, 3664"
Avenell Heights,4670,QLD,"Avenell Heights, QLD, 4670"
Avenue Range,5273,SA,"Avenue Range, SA, 5273"
Avisford,2850,NSW,"Avisford, NSW, 2850"
Avoca,2577,NSW,"Avoca, NSW, 2577"
Avoca,3467,VIC,"Avoca, VIC, 3467"
Avoca,4670,QLD,"Avoca, QLD, 4670"
Avoca,7213,TAS,"Avoca, TAS, 7213"
Avoca Beach,2251,NSW,"Avoca Beach, NSW, 2251"
Avoca Dell,5253,SA,"Avoca Dell, SA, 5253"
Avoca Vale,4314,QLD,"Avoca Vale, QLD, 4314"
Avon,2574,NSW,"Avon, NSW, 2574"
Avon,5501,SA,"Avon, SA, 5501"
Avon Plains,3477,VIC,"Avon Plains, VIC, 3477"
Avon Valley National Park,6084,WA,"Avon Valley National Park, WA, 6084"
Avondale,2530,NSW,"Avondale, NSW, 2530"
Avondale,4670,QLD,"Avondale, QLD, 4670"
Avondale Heights,3034,VIC,"Avondale Heights, VIC, 3034"
Avonmore,3559,VIC,"Avonmore, VIC, 3559"
Avonside,2628,NSW,"Avonside, NSW, 2628"
Avonsleigh,3782,VIC,"Avonsleigh, VIC, 3782"
Awaba,2283,NSW,"Awaba, NSW, 2283"
Axe Creek,3551,VIC,"Axe Creek, VIC, 3551"
Axedale,3551,VIC,"Axedale, VIC, 3551"
Ayers Range South,872,SA,"Ayers Range South, SA, 872"
Aylmerton,2575,NSW,"Aylmerton, NSW, 2575"
Ayr,4807,QLD,"Ayr, QLD, 4807"
Ayrford,3268,VIC,"Ayrford, VIC, 3268"
Baan Baa,2390,NSW,"Baan Baa, NSW, 2390"
Baandee,6412,WA,"Baandee, WA, 6412"
Babakin,6428,WA,"Babakin, WA, 6428"
Babbage Island,6701,WA,"Babbage Island, WA, 6701"
Babinda,2825,NSW,"Babinda, NSW, 2825"
Babinda,4861,QLD,"Babinda, QLD, 4861"
Babyl Creek,2470,NSW,"Babyl Creek, NSW, 2470"
Bacchus Marsh,3340,VIC,"Bacchus Marsh, VIC, 3340"
Back Creek,2372,NSW,"Back Creek, NSW, 2372"
Back Creek,2390,NSW,"Back Creek, NSW, 2390"
Back Creek,2422,NSW,"Back Creek, NSW, 2422"
Back Creek,2484,NSW,"Back Creek, NSW, 2484"
Back Creek,2622,NSW,"Back Creek, NSW, 2622"
Back Creek,2671,NSW,"Back Creek, NSW, 2671"
